0:0:0:0:0:0:0:1 - - [04/Dec/2023:18:31:57 -0300] "OPTIONS /senhor-financas/rest/receita/atualizar HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Dec/2023:18:31:57 -0300] "PUT /senhor-financas/rest/receita/atualizar HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [04/Dec/2023:18:32:13 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2198
0:0:0:0:0:0:0:1 - - [04/Dec/2023:18:32:21 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2198
0:0:0:0:0:0:0:1 - - [04/Dec/2023:18:33:08 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2198
0:0:0:0:0:0:0:1 - - [04/Dec/2023:18:33:14 -0300] "PUT /senhor-financas/rest/receita/atualizar HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [04/Dec/2023:18:33:26 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2200
0:0:0:0:0:0:0:1 - - [04/Dec/2023:18:33:42 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2200
0:0:0:0:0:0:0:1 - - [04/Dec/2023:18:35:50 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2200
0:0:0:0:0:0:0:1 - - [04/Dec/2023:18:36:48 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2200
0:0:0:0:0:0:0:1 - - [04/Dec/2023:18:36:56 -0300] "PUT /senhor-financas/rest/receita/atualizar HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [04/Dec/2023:18:37:06 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2200
0:0:0:0:0:0:0:1 - - [04/Dec/2023:18:37:40 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2200
0:0:0:0:0:0:0:1 - - [04/Dec/2023:18:37:48 -0300] "PUT /senhor-financas/rest/receita/atualizar HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [04/Dec/2023:18:38:37 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2200
0:0:0:0:0:0:0:1 - - [04/Dec/2023:18:38:58 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2200
0:0:0:0:0:0:0:1 - - [04/Dec/2023:18:39:02 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2200
0:0:0:0:0:0:0:1 - - [04/Dec/2023:18:39:25 -0300] "PUT /senhor-financas/rest/receita/atualizar HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [04/Dec/2023:18:40:15 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2200
0:0:0:0:0:0:0:1 - - [04/Dec/2023:18:40:25 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2200
0:0:0:0:0:0:0:1 - - [04/Dec/2023:18:40:33 -0300] "PUT /senhor-financas/rest/receita/atualizar HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [04/Dec/2023:18:41:04 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2196
0:0:0:0:0:0:0:1 - - [04/Dec/2023:18:41:12 -0300] "PUT /senhor-financas/rest/receita/atualizar HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [04/Dec/2023:18:41:25 -0300] "PUT /senhor-financas/rest/receita/atualizar HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [04/Dec/2023:18:49:13 -0300] "GET /senhor-financas/rest/relatorio/gerar/1/2023 HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [04/Dec/2023:18:51:06 -0300] "GET /senhor-financas/rest/relatorio/gerar/1/2023 HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [04/Dec/2023:18:51:40 -0300] "GET /senhor-financas/rest/relatorio/gerar/1/2023 HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [04/Dec/2023:18:57:21 -0300] "GET /senhor-financas/rest/relatorio/gerar/1/2023 HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [04/Dec/2023:18:58:20 -0300] "OPTIONS /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Dec/2023:18:58:20 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2578
0:0:0:0:0:0:0:1 - - [04/Dec/2023:18:58:36 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2578
0:0:0:0:0:0:0:1 - - [04/Dec/2023:19:01:12 -0300] "OPTIONS /senhor-financas/rest/usuario/cadastrar HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Dec/2023:19:01:12 -0300] "POST /senhor-financas/rest/usuario/cadastrar HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [04/Dec/2023:19:01:19 -0300] "OPTIONS /senhor-financas/rest/usuario/logar HTTP/1.1" 200 -
